Model,MAE,RMSE,MAPE
SARIMA,19244.48534520369,19950.07042110583,20.526431988168135
Prophet,20250.794412605523,22318.41133286054,21.86462827396082
XGBoost,36206.50494791667,41996.13548898223,36.708405618635304
